Project ID,Start Date,End Date,Duration (days),Status,Budget ($),Actual Cost ($),Location,Project Manager
PRJ0001,2023-02-23,2023-05-13,79,Planned,391618.92,432098.0051314593,London,Cathy Zhang
PRJ0002,2023-08-12,2024-06-11,304,Completed,681334.12,606361.7406114687,London,Bob Johnson
PRJ0003,2023-06-22,2023-07-29,37,On Hold,559110.86,464422.25211651536,Hamilton,Bob Johnson
PRJ0004,2023-06-23,2024-04-19,301,Planned,639684.82,719137.8931316142,Toronto,Alice Smith
PRJ0005,2023-12-13,2024-09-04,266,On Hold,414606.03,493630.2666322152,Toronto,Cathy Zhang
PRJ0006,2023-07-11,2023-09-28,79,Completed,407647.46,431237.57597990404,Hamilton,Alice Smith
PRJ0007,2023-07-11,2023-12-31,173,Planned,464139.07,422898.809846628,Mississauga,Bob Johnson
PRJ0008,2023-09-06,2024-08-04,333,On Hold,417594.12,500557.144358683,Mississauga,Bob Johnson
PRJ0009,2023-12-07,2024-10-07,305,Planned,570536.52,660285.7112351697,Ottawa,Bob Johnson
PRJ0010,2023-09-25,2024-03-27,184,Completed,424887.39,427161.4971498189,Toronto,Bob Johnson
PRJ0011,2023-05-30,2024-04-14,320,On Hold,382833.01,432650.50067722664,Toronto,Alice Smith
PRJ0012,2023-01-25,2023-05-25,120,Planned,514201.54,579159.6997701693,Hamilton,Bob Johnson
PRJ0013,2023-11-30,2024-08-14,258,Completed,371001.38,435525.7871085786,Hamilton,Daniel Lee
PRJ0014,2023-11-28,2024-06-18,203,Planned,320053.61,363699.17277390877,Mississauga,Cathy Zhang
PRJ0015,2023-09-07,2024-01-04,119,Planned,513325.72,542827.4188987045,Toronto,Bob Johnson
PRJ0016,2023-02-21,2023-08-27,187,In Progress,325078.0,339290.8937403774,Toronto,Cathy Zhang
PRJ0017,2023-04-26,2023-09-26,153,In Progress,577527.94,569987.1087896567,London,Bob Johnson
PRJ0018,2023-06-09,2024-06-08,365,Completed,360466.63,378704.17095346085,Ottawa,Alice Smith
PRJ0019,2023-06-01,2024-03-13,286,In Progress,275932.62,308516.57447551406,Ottawa,Cathy Zhang
PRJ0020,2023-03-06,2024-01-26,326,Completed,470620.33,558915.7869891697,Mississauga,Alice Smith
PRJ0021,2023-04-22,2024-01-29,282,In Progress,514459.45,507727.7189129306,Toronto,Bob Johnson
PRJ0022,2023-02-07,2023-09-09,214,Planned,549147.51,565326.0992099203,London,Daniel Lee
PRJ0023,2023-07-28,2023-09-29,63,Completed,517201.57,505782.89615561167,Toronto,Daniel Lee
PRJ0024,2023-01-10,2023-09-10,243,Completed,394068.74,420627.17943010706,Hamilton,Daniel Lee
PRJ0025,2023-05-19,2023-10-07,141,Planned,571306.12,600995.871633473,Mississauga,Daniel Lee
PRJ0026,2023-03-11,2023-12-31,295,Completed,596013.85,481062.75438135746,Ottawa,Daniel Lee
PRJ0027,2023-11-06,2024-01-15,70,Completed,379423.79,385670.85990251234,Toronto,Alice Smith
PRJ0028,2023-10-06,2024-08-04,303,In Progress,481899.39,402576.2244241394,Mississauga,Daniel Lee
PRJ0029,2023-10-15,2023-12-28,74,Completed,472556.0,383031.8947960901,Ottawa,Bob Johnson
PRJ0030,2023-09-10,2024-08-25,350,On Hold,522038.16,582844.572276767,Toronto,Alice Smith
PRJ0031,2023-06-13,2024-02-01,233,Planned,479507.62,433215.92792693374,London,Alice Smith
PRJ0032,2023-01-17,2023-10-22,278,In Progress,493212.22,461775.87476925616,Mississauga,Daniel Lee
PRJ0033,2023-01-04,2023-05-03,119,In Progress,564181.55,465807.37678622926,Toronto,Cathy Zhang
PRJ0034,2023-06-20,2024-02-23,248,On Hold,388614.69,338794.32723477256,Ottawa,Bob Johnson
PRJ0035,2023-05-04,2023-07-22,79,Planned,573737.31,634692.2675801059,Ottawa,Alice Smith
PRJ0036,2023-09-07,2023-12-31,115,Planned,614113.27,612524.1487999879,London,Bob Johnson
PRJ0037,2023-04-27,2023-12-08,225,In Progress,663413.5,764429.7388320051,Mississauga,Cathy Zhang
PRJ0038,2023-07-01,2023-09-13,74,Completed,285663.27,273921.61050263443,Mississauga,Alice Smith
PRJ0039,2023-09-15,2024-09-14,365,In Progress,481709.83,437142.1782964254,Toronto,Bob Johnson
PRJ0040,2023-07-21,2024-05-13,297,Planned,303489.94,284989.1707336269,Ottawa,Daniel Lee
PRJ0041,2023-01-27,2024-01-15,353,On Hold,256493.63,278323.4738723045,Ottawa,Alice Smith
PRJ0042,2023-07-24,2024-05-01,282,In Progress,514409.3,525727.4717606449,London,Alice Smith
PRJ0043,2023-07-30,2024-01-04,158,Planned,460084.82,534469.7155889366,London,Alice Smith
